,Year,Date,Experiment,Plot,Subplot,Strip,TreatmentCode,BigBioNumSp,FertTrt,Species,Mass.g.m.2.
1,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Carex sp.,3.6
2,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Cyperus sp.,0.1
3,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Koeleria cristata,18.12
4,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Lespedeza capitata,5.2
5,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Miscellaneous herbs,0.05
6,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Miscellaneous litter,192.04
7,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Panicum perlongum,1.46
8,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Poa pratensis,2.62
9,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Rhus glabra,18.92
10,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Solidago nemoralis,4.82
11,2019,8/22/19,E245,1,East,NA,Insecticide,NA,n,Sorghastrum nutans,27.12
12,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Agrostis scabra,0.04
13,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Anemone cylindrica,1.94
14,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Aristida basiramea,0.04
15,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Bouteloua gracilis,0.32
16,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Carex sp.,32.66
17,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Cyperus sp.,0.74
18,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Koeleria cristata,14.5
19,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Lespedeza capitata,1.28
20,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Miscellaneous litter,155.72
21,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Panicum perlongum,9.7
22,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Penstemon grandiflorus,0.4
23,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Poa pratensis,7.02
24,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Rhus glabra,3.74
25,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Solidago nemoralis,36.68
26,2019,8/22/19,E245,1,West,NA,Insecticide,NA,y,Sorghastrum nutans,58.98
27,2019,8/22/19,E245,2,East,NA,Control,NA,n,Agrostis scabra,0.56
28,2019,8/22/19,E245,2,East,NA,Control,NA,n,Ambrosia coronopifolia,2.28
29,2019,8/22/19,E245,2,East,NA,Control,NA,n,Aster ericoides,4.34
30,2019,8/22/19,E245,2,East,NA,Control,NA,n,Carex sp.,7.58
31,2019,8/22/19,E245,2,East,NA,Control,NA,n,Cyperus sp.,0.42
32,2019,8/22/19,E245,2,East,NA,Control,NA,n,Koeleria cristata,12.54
33,2019,8/22/19,E245,2,East,NA,Control,NA,n,Lespedeza capitata,0.76
34,2019,8/22/19,E245,2,East,NA,Control,NA,n,Liatris aspera,2.82
35,2019,8/22/19,E245,2,East,NA,Control,NA,n,Lithospermum canescens,2.24
36,2019,8/22/19,E245,2,East,NA,Control,NA,n,Miscellaneous litter,50.28
37,2019,8/22/19,E245,2,East,NA,Control,NA,n,Panicum perlongum,1.02
38,2019,8/22/19,E245,2,East,NA,Control,NA,n,Poa pratensis,0.66
39,2019,8/22/19,E245,2,East,NA,Control,NA,n,Sorghastrum nutans,17.64
40,2019,8/22/19,E245,2,West,NA,Control,NA,y,Ambrosia coronopifolia,10.22
41,2019,8/22/19,E245,2,West,NA,Control,NA,y,Aster ericoides,0.94
42,2019,8/22/19,E245,2,West,NA,Control,NA,y,Carex sp.,27.54
