Block,Plot,Sub,Treatment,Fertilizer.f
1,2,2_East,Control,0
1,2,2_West,Control,1
1,6,6_East,Fenced,0
1,6,6_West,Fenced,1
1,4,4_East,SoilDrenchFungicide,0
1,4,4_West,SoilDrenchFungicide,1
1,1,1_East,Insecticide,0
1,1,1_West,Insecticide,1
1,3,3_East,FoliarFungicide,0
1,3,3_West,FoliarFungicide,1
1,5,5_East,AllPesticides,0
1,5,5_West,AllPesticides,1
2,8,8_East,Control,0
2,8,8_West,Control,1
2,12,12_East,Fenced,0
2,12,12_West,Fenced,1
2,11,11_East,SoilDrenchFungicide,0
2,11,11_West,SoilDrenchFungicide,1
2,9,9_East,Insecticide,0
2,9,9_West,Insecticide,1
2,10,10_East,FoliarFungicide,0
2,10,10_West,FoliarFungicide,1
2,7,7_East,AllPesticides,0
2,7,7_West,AllPesticides,1
3,14,14_East,Control,0
3,14,14_West,Control,1
3,18,18_East,Fenced,0
3,18,18_West,Fenced,1
3,17,17_East,SoilDrenchFungicide,0
3,17,17_West,SoilDrenchFungicide,1
3,16,16_East,Insecticide,0
3,16,16_West,Insecticide,1
3,15,15_East,FoliarFungicide,0
3,15,15_West,FoliarFungicide,1
3,13,13_East,AllPesticides,0
3,13,13_West,AllPesticides,1
4,24,24_East,Control,0
4,24,24_West,Control,1
4,21,21_East,Fenced,0
4,21,21_West,Fenced,1
4,20,20_East,SoilDrenchFungicide,0
4,20,20_West,SoilDrenchFungicide,1
4,19,19_East,Insecticide,0
4,19,19_West,Insecticide,1
4,22,22_East,FoliarFungicide,0
4,22,22_West,FoliarFungicide,1
4,23,23_East,AllPesticides,0
4,23,23_West,AllPesticides,1
5,29,29_East,Control,0
5,29,29_West,Control,1
5,25,25_East,Fenced,0
5,25,25_West,Fenced,1
5,27,27_East,SoilDrenchFungicide,0
5,27,27_West,SoilDrenchFungicide,1
5,30,30_East,Insecticide,0
5,30,30_West,Insecticide,1
5,26,26_East,FoliarFungicide,0
5,26,26_West,FoliarFungicide,1
5,28,28_East,AllPesticides,0
5,28,28_West,AllPesticides,1
6,32,32_East,Control,0
6,32,32_West,Control,1
6,33,33_East,Fenced,0
6,33,33_West,Fenced,1
6,31,31_East,SoilDrenchFungicide,0
6,31,31_West,SoilDrenchFungicide,1
6,35,35_East,Insecticide,0
6,35,35_West,Insecticide,1
6,36,36_East,FoliarFungicide,0
6,36,36_West,FoliarFungicide,1
6,34,34_East,AllPesticides,0
6,34,34_West,AllPesticides,1
7,37,37_East,Control,0
7,37,37_West,Control,1
7,38,38_East,Fenced,0
7,38,38_West,Fenced,1
7,42,42_East,SoilDrenchFungicide,0
7,42,42_West,SoilDrenchFungicide,1
7,40,40_East,Insecticide,0
7,40,40_West,Insecticide,1
7,39,39_East,FoliarFungicide,0
7,39,39_West,FoliarFungicide,1
7,41,41_East,AllPesticides,0
7,41,41_West,AllPesticides,1
8,47,47_East,Control,0
8,47,47_West,Control,1
8,43,43_East,Fenced,0
8,43,43_West,Fenced,1
8,46,46_East,SoilDrenchFungicide,0
8,46,46_West,SoilDrenchFungicide,1
8,45,45_East,Insecticide,0
8,45,45_West,Insecticide,1
8,48,48_East,FoliarFungicide,0
8,48,48_West,FoliarFungicide,1
8,44,44_East,AllPesticides,0
8,44,44_West,AllPesticides,1
